title,price,location,bedrooms,bathrooms,toilets,size_value,property_type,price_per_bedroom,price_per_size
Block of flats for sale,400000000.0,Old Bodija,4.0,4.0,4.0,400,apartment,100000000.0,1000000.0
Block of flats for sale,420000000.0,Old Bodija,4.0,4.0,4.0,400,apartment,105000000.0,1050000.0
Block of flats for sale,80000000.0,Eleyele,4.0,4.0,4.0,400,apartment,20000000.0,200000.0
5 bedroom detached duplex for sale,339000000.0,Samonda,5.0,6.0,6.0,500,duplex,67800000.0,678000.0
4 bedroom house for sale,32000000.0,Akobo Ojurin Ibadan,4.0,4.0,5.0,500,other,8000000.0,64000.0
7 bedroom block of flats for sale,70000000.0,Apata,7.0,4.0,4.0,500,apartment,10000000.0,140000.0
4 bedroom detached duplex for sale,300000000.0,Alalubosa Gra,4.0,4.0,5.0,500,duplex,75000000.0,600000.0
4 bedroom detached duplex for sale,310000000.0,Akobo,4.0,4.0,5.0,500,duplex,77500000.0,620000.0
3 bedroom semi-detached duplex for sale,160000000.0,Akobo,3.0,3.0,4.0,500,duplex,53333333.333333336,320000.0
4 bedroom detached duplex for sale,200000000.0,Akobo,4.0,4.0,5.0,500,duplex,50000000.0,400000.0
4 bedroom detached duplex for sale,195000000.0,Oluyole,4.0,5.0,5.0,500,duplex,48750000.0,390000.0
4 bedroom detached duplex for sale,300000000.0,Aerodrome Gra Samonda,4.0,5.0,5.0,500,duplex,75000000.0,600000.0
4 bedroom semi-detached duplex for sale,155000000.0,Akobo,4.0,4.0,4.0,500,duplex,38750000.0,310000.0
3 bedroom detached duplex for sale,400000000.0,Old Bodija,3.0,3.0,3.0,500,duplex,133333333.33333333,800000.0
3 bedroom detached duplex for sale,160000000.0,Eleyele,3.0,3.0,3.0,500,duplex,53333333.333333336,320000.0
Block of flats for sale,65000000.0,Akobo,4.0,4.0,4.0,500,apartment,16250000.0,130000.0
4 bedroom detached bungalow for sale,35000000.0,Apata,4.0,4.0,4.0,500,bungalow,8750000.0,70000.0
5 bedroom house for sale,130000000.0,Akobo,5.0,6.0,6.0,500,other,26000000.0,260000.0
3 bedroom detached bungalow for sale,180000000.0,New Bodija,3.0,4.0,4.0,650,bungalow,60000000.0,276923.07692307694
